Date,Open,High,Low,Close
20210422,17230.0,17368.0,17053.0,17109.0
20210423,17085.0,17260.0,17000.0,17257.0
20210426,17374.0,17536.0,17324.0,17528.0
20210427,17490.0,17576.0,17458.0,17571.0
20210428,17535.0,17563.0,17476.0,17532.0
20210429,17540.0,17702.0,17500.0,17570.0
20210503,17516.0,17534.0,17226.0,17255.0
20210504,15529.0,17309.0,15529.0,16929.0
20210505,16811.0,17020.0,16500.0,16769.0
20210506,16790.0,17081.0,16703.0,16946.0
20210510,17300.0,17372.0,17138.0,17229.0
20210511,17030.0,17030.0,16425.0,16560.0
20210512,16561.0,16561.0,15030.0,15697.0
20210513,15546.0,15991.0,15200.0,15566.0
20210514,15716.0,16020.0,15653.0,15771.0
20210516,16020.0,17341.0,16000.0,17184.0
20210517,14778.0,15735.0,14778.0,15263.0
20210518,15690.0,16180.0,15100.0,16143.0
20210519,16001.0,16248.0,15980.0,16137.0
20210520,15850.0,16113.0,15700.0,15979.0
20210521,16162.0,16425.0,16072.0,16255.0
20210524,15966.0,16368.0,15810.0,16294.0
20210525,16386.0,16622.0,16201.0,16588.0
20210526,16731.0,16731.0,16461.0,16616.0
20210527,16651.0,16651.0,16258.0,16534.0
20210528,16605.0,16878.0,16600.0,16864.0
20210531,16767.0,17098.0,16767.0,17009.0
20210601,16907.0,17148.0,16907.0,17131.0
20210602,17101.0,17197.0,17018.0,17100.0
20210603,17225.0,17312.0,17050.0,17229.0
20210604,17050.0,17169.0,17015.0,17101.0
20210607,17152.0,17229.0,16720.0,17091.0
20210608,17201.0,17249.0,17000.0,17087.0
20210609,16850.0,17073.0,16720.0,16957.0
20210610,16982.0,17174.0,16982.0,17157.0
20210611,17155.0,17298.0,17050.0,17221.0
20210615,17269.0,17401.0,17000.0,17398.0
20210616,17301.0,17398.0,17000.0,17345.0
20210617,17039.0,17298.0,16800.0,17298.0
20210618,16900.0,17331.0,16900.0,17252.0
20210621,16985.0,17148.0,16850.0,16962.0
20210622,17145.0,17180.0,16988.0,17028.0
20210623,16800.0,17318.0,16800.0,17270.0
20210624,17313.0,17397.0,17111.0,17339.0
20210625,17200.0,17562.0,17200.0,17419.0
20210628,17471.0,17560.0,17398.0,17535.0
20210629,17651.0,17651.0,17406.0,17530.0
20210630,17300.0,17765.0,17300.0,17714.0
20210701,17400.0,17774.0,17400.0,17645.0
20210702,17400.0,17724.0,17400.0,17651.0
20210704,17650.0,19413.0,15900.0,15900.0
20210705,17811.0,17919.0,17729.0,17896.0
20210706,17941.0,17974.0,17859.0,17877.0
20210707,17600.0,17906.0,17600.0,17827.0
20210708,17600.0,17896.0,17600.0,17825.0
20210709,17300.0,17700.0,17300.0,17660.0
20210712,17761.0,17960.0,17731.0,17824.0
20210713,17700.0,18030.0,17700.0,17870.0
20210714,17600.0,17924.0,17600.0,17873.0
20210715,17600.0,18046.0,17600.0,18018.0
20210716,17500.0,17928.0,17500.0,17926.0
20210719,17664.0,17813.0,17648.0,17794.0
20210720,17588.0,17716.0,17478.0,17560.0
20210721,17677.0,17677.0,17377.0,17431.0
20210722,17275.0,17525.0,17275.0,17408.0
20210723,17500.0,17559.0,17380.0,17408.0
20210725,17400.0,19100.0,15754.0,19100.0
20210726,17480.0,17490.0,17198.0,17202.0
20210727,17290.0,17347.0,17140.0,17173.0
20210728,16800.0,17136.0,16736.0,16965.0
20210729,17148.0,17331.0,17068.0,17331.0
20210730,17434.0,17434.0,17126.0,17176.0
20210802,17261.0,17470.0,17160.0,17470.0
20210803,17477.0,17496.0,17361.0,17482.0
20210804,17444.0,17586.0,17444.0,17572.0
20210805,17511.0,17584.0,17511.0,17544.0
20210806,17511.0,17559.0,17353.0,17437.0
20210808,17439.0,17441.0,17435.0,17441.0
20210809,17415.0,17468.0,17235.0,17405.0
20210810,17405.0,17443.0,17259.0,17299.0
20210811,17160.0,17298.0,17078.0,17170.0
20210812,17151.0,17235.0,17125.0,17161.0
20210813,17190.0,17200.0,16935.0,16935.0
20210816,16600.0,16936.0,16600.0,16776.0
20210817,16800.0,16872.0,16576.0,16578.0
20210818,16200.0,16796.0,16200.0,16784.0
20210819,17299.0,17299.0,16257.0,16330.0
20210820,16100.0,16426.0,16100.0,16190.0
20210822,16500.0,17806.0,16500.0,17806.0
20210823,16600.0,16729.0,16261.0,16684.0
20210824,16999.0,16999.0,16717.0,16784.0
20210825,16740.0,16982.0,16650.0,16961.0
20210826,16900.0,17125.0,16882.0,16995.0
20210827,16855.0,17218.0,16800.0,17173.0
20210829,17200.0,17300.0,16930.0,16930.0
20210830,17281.0,17353.0,17206.0,17336.0
20210831,17251.0,17468.0,17131.0,17459.0
20210901,17200.0,17499.0,17200.0,17476.0
20210902,17276.0,17507.0,17200.0,17324.0
20210903,17410.0,17553.0,17251.0,17511.0
20210906,17300.0,17595.0,17300.0,17493.0
20210907,17200.0,17529.0,17200.0,17421.0
20210908,17391.0,17425.0,17163.0,17262.0
20210909,17000.0,17291.0,17000.0,17236.0
20210910,17290.0,17478.0,17285.0,17474.0
20210913,17390.0,17491.0,17241.0,17440.0
20210914,17430.0,17567.0,17350.0,17461.0
20210915,17200.0,17433.0,17200.0,17381.0
20210916,17290.0,17362.0,17100.0,17248.0
20210917,17230.0,17395.0,17122.0,17288.0
20210919,17290.0,19023.0,17290.0,19023.0
20210922,17000.0,17000.0,16751.0,16891.0
20210923,16222.0,17130.0,16222.0,17082.0
20210924,17240.0,17275.0,17059.0,17251.0
20210927,17205.0,17344.0,17001.0,17292.0
20210928,17215.0,17215.0,17000.0,17171.0
20210929,16891.0,17006.0,16500.0,16823.0
20210930,16666.0,16965.0,16500.0,16918.0
20211001,16801.0,16803.0,16416.0,16517.0
20211004,16535.0,16652.0,16313.0,16358.0
20211005,16269.0,16424.0,16107.0,16396.0
20211007,16501.0,16759.0,16480.0,16706.0
20211008,16700.0,16759.0,16555.0,16627.0
20211012,16551.0,16551.0,16286.0,16418.0
20211013,16469.0,16584.0,16312.0,16320.0
20211014,16451.0,16546.0,16354.0,16405.0
20211015,16649.0,16790.0,16570.0,16782.0
20211018,16800.0,16870.0,16705.0,16725.0
20211019,16799.0,16954.0,16784.0,16902.0
